attribute_1,attribute_2,communion
我,他,守卫
自己,别人,真诚
我们,他们,好客
我的,他的,辩护
我们的,他们的,支持
,,软弱
,,诚挚
,,依靠
,,互助
,,道贺
,,走到
,,可信
,,喜爱
,,饶恕
,,善意
,,交互
,,平易近人
,,慈善
,,对话
,,赠送
,,赞美
,,善行
,,无情
,,称赞
,,靠谱
,,诚实
,,导师
,,偏袒
,,整体
,,含有
,,污染
,,应对
,,保护
,,体贴
,,团伙
,,创伤
,,地球
,,无私
,,集体
,,相等
,,热心
,,团队
,,配合
,,歧视
,,正当
,,崇高
,,多元
,,意识到
,,安宁
,,准则
,,吐露
,,帮助
,,谅解
,,可靠
,,分担
,,敏感
,,无偏见
,,好心
,,互相
,,贤良
,,共情
,,恭维
,,交谈
,,卷入
,,自愿
,,相互
,,捐献
,,滋养
,,平均
,,忍耐
,,照顾
,,依赖
,,听信
,,互赢
,,便利
,,愉快
,,温柔
,,惬意
,,接纳
,,贡献
,,挂念
,,融洽
,,完整
,,好意
,,爱慕
,,怜悯
,,支撑
,,接受
,,救济
,,高尚
,,人民
,,和谐
,,义务
,,担心
,,适应
,,承认
,,习俗
,,慷慨
,,友好
,,方便
,,一样
,,遭受
,,宽容
,,指望
,,正直
,,服务
,,诚恳
,,捐赠
,,大方
,,良心
,,团结
,,志愿
,,凝聚
,,褒扬
,,赞扬
,,请柬
,,献身
,,容忍
,,有益
,,谈话
,,供应
,,和睦
,,信赖
,,捐款
,,容易
,,道德
,,邀请
,,赞许
,,平等
,,助手
,,关切
,,毁谤
,,盲从
,,团体
,,移情
,,非政府组织
,,自由
,,感激
,,助长
,,忠诚
,,随和
,,委托
,,普适
,,人人
,,群体
,,可怜
,,可持续
,,相信
,,忠心
,,公正
,,谦恭
,,贫乏
,,等于
,,共鸣
,,亲切
,,司法
,,和蔼
,,忠贞
,,疾病
,,成见
,,真心
,,感情
,,整合
,,不偏不倚
,,环境
,,吸引
,,老实
,,客气
,,有礼
,,危害
,,和平
,,穷困
,,慈祥
,,问候
,,仁慈
,,偏见
,,迷信
,,全球
,,教育
,,倾诉
,,牵涉
,,集团
,,虐待
,,助理
,,交流
,,社会
,,人性
,,承受
,,生病
,,民众
,,同情
,,每人
,,致意
,,讲授
,,养育
,,同样
,,原谅
,,榜样
,,伦理
,,听从
,,防护
,,体谅
,,非营利
,,普世
,,责任
,,理疗
,,互惠
,,鼓舞
,,善良
,,教给
,,接待
,,多样
,,完善
,,款待
,,表扬
,,美德
,,贫穷
,,倾听
,,治疗
,,关心
,,共有
,,尊重
,,不公
,,公共
,,孩子
,,免费
,,客观
,,供奉
,,包含
,,保卫
,,情境
,,赠与
,,一致
,,宽恕
,,牺牲
,,诽谤
,,注意
,,合作
,,社团
,,普遍
,,授权
,,生态
,,协作
,,医院
,,坦诚
,,至善
,,双赢
,,救助
,,宽厚
,,拥护
,,解放
,,参与
,,平静
,,公平
,,招待
,,正义
,,礼貌
,,多种
,,直率
,,利他
